transaction_id,items
1,item_J02|item_P03|item_B05|item_M04|item_G05|item_T02|item_I01|item_S05|bread|item_A04
2,item_I01|item_P04|item_R03|item_C05|item_L02|item_I05|item_A01|item_O02|item_N03|item_J01
3,item_R04|item_R02|yogurt|coffee
4,item_P04|item_L01|apple|item_Q04|item_J01|item_T05
5,item_D02|tea|item_O05|item_A01|item_F02|item_C03|item_R04|item_L05
6,item_H01|item_T01|item_C01|coffee|item_P02|item_Q05|item_G04|bread
7,item_G04|item_L04|chips|bread|item_A02|rice|item_T04|item_R04|item_A04|item_T03
8,cheese|item_S01|tomato|item_H05
9,item_C02|item_A01|tea
10,item_F04|coffee|item_D03|item_I04|item_P03|item_O04|item_N02|item_F03|item_M03
11,item_C05|oil|item_L01|item_S01|salt
12,item_A01|item_O02|item_M03|item_R05|item_T04|item_H02|item_Q03|item_N02
13,item_N03|item_E02|item_D04
14,item_G04|item_H04|item_D04|item_D02|item_R04|item_E04|item_E05|apple
15,item_L01|item_F03|fish|item_T01|item_M02|item_E03|juice|item_S01|item_A01
16,item_A01|item_T02|item_B04|item_M01|item_D01|item_M03
17,item_F03|item_G01|item_I05|butter|item_C05|coffee
18,item_G03|butter|item_G05|item_H05|item_G01
19,item_O03|item_G04|item_S05|item_Q01
20,item_R05|item_C03|item_E05|item_Q05
21,item_T01|bread|item_S02|item_I05|item_N02
22,item_A04|item_T01|item_A05|item_E01|item_S03|item_R02|item_J05
23,tea|item_F04|item_C05|item_A01|item_K04|fish|item_G01|item_N04|item_A02|item_Q01
24,juice|item_I05|item_J04|item_N03|item_B01|item_T01|item_O05|item_H02|item_J02|fish
25,item_D02|oil|item_N03|item_E05|item_G05
26,item_N02|item_S05|item_L05|item_N03|milk
27,item_D01|item_Q02|item_N01|juice|item_E04|item_M01|banana|chicken|item_P04
28,item_G01|item_O02|item_J03|item_J01|item_F02|item_C03|item_J05
29,item_D05|item_E01|item_P01
30,item_T02|item_L05|item_A03|item_J01|item_L03|juice|tea
31,item_D01|banana|item_D04|fish|item_J04|chips|item_C04|item_A01|item_J03
32,item_R01|item_F01|item_R02|butter|item_D01|chicken|item_I05
33,item_L04|milk|item_H02|item_D02|item_J01|chips|item_I02|item_M03|item_A02|rice
34,item_J03|item_H01|item_B04|item_J02|item_P04|item_O03|item_K04|item_H04|item_M03
35,item_M05|item_N02|item_D03|item_I05|item_B02
36,bread|beef|item_H03|item_G03|item_N04|item_T01|apple|item_E05
37,beef|item_A04|item_L02|item_K03|item_C05
38,item_N05|item_D04|item_I02|item_C03
39,yogurt|item_C03|item_S04|apple|item_D04|item_K05
40,item_D03|item_N03|orange|bread|coffee|item_G03|item_O05|juice
41,item_P02|chips|item_R03|item_K01|item_E02|item_B03|tomato|coffee|item_G04|item_I05
42,item_F02|item_B04|item_D02|milk|item_P02|item_D03|item_L03|item_O05|item_K03
43,item_F02|item_P01|item_N04|item_G03|item_J03|item_J04|chips|rice
44,rice|item_G04|item_K04|item_C05|item_R02|item_H05|item_H01|chips|item_D01|item_L03
45,item_P02|item_E04|item_N02|item_I02|item_C04
46,item_I05|item_B02|butter|item_E05|item_T04|item_D01
47,cheese|item_I01|item_F05
48,item_H01|item_A02|item_B05|item_I03|item_N01|item_H04|item_A01|item_C04|tomato|item_M01
49,item_S03|item_E01|item_O01|beef
50,item_D01|item_T05|item_A02|item_J01|item_P01|item_M04|item_N01
51,cheese|item_C02|item_S05|item_A05|item_J03|item_O01
52,item_A01|item_G02|item_Q02|item_R04|item_A03|item_C03|beef
53,item_C01|item_N02|item_C05|item_N04|item_M02|item_H03|item_K03|item_G04|sugar
54,item_S02|item_C02|item_T04|rice|item_J05|item_L01|item_I02|item_O03|item_E01|item_Q05
55,item_L05|item_C01|item_K02|item_Q01|item_G01|chicken|item_C05
56,item_Q02|fish|item_J01|item_H01|item_P01|tea|item_I01
57,item_T05|item_M02|item_O02|item_J02|item_F01|item_R01|item_F02|item_T04
58,item_I02|item_L05|item_M01|item_S04|item_N01|item_E01|item_N05
59,onion|item_O05|item_Q02|item_M04|item_L01
60,item_J04|item_I01|item_P02|item_T02|item_E01|item_N01|item_B01|cheese|banana|item_L01
61,item_O02|item_P05|tea|item_S02|item_M01|item_G03
62,item_C02|item_O04|item_O02|item_A04|item_G04|sugar|item_I04|cheese|yogurt|item_K05
63,item_S05|item_E03|item_H03
64,item_K05|garlic|item_B05
65,banana|item_S04|item_G02|milk
66,item_M03|banana|item_N05|item_T01|juice
67,item_H02|item_C01|item_P05|item_A02|item_G04|onion|item_O04|item_T01
68,fish|item_G05|item_S04|chicken|item_Q05|item_B02|item_R03|oil|item_B01|banana
69,item_O05|item_O04|item_G03|item_C04|item_R02
70,rice|butter|item_I05|item_D05|item_I03|item_Q01|item_T04
71,item_I02|item_E02|item_M05|tomato|garlic|item_S01|item_R05|item_E01|item_L05|item_N05
72,item_N04|item_Q05|chips|item_O03|item_C02
73,rice|item_S02|item_P05|item_Q03|item_H01|item_T04|item_E05|item_O04
74,item_L02|onion|item_P01|item_I02|item_F01|item_K01|fish|item_C03|item_C01|item_I05
75,item_J05|item_B02|item_H05
76,item_M01|item_L01|item_A01|item_B02|item_P05|item_C02
77,item_A02|item_T02|eggs|item_Q03|item_H05|milk|item_K02|item_G03
78,item_E04|item_F01|item_B04
79,item_P04|item_H05|item_E05|item_N02|item_H02|item_P03|item_Q05|item_O01|bread
80,item_E05|sugar|item_D02|item_G03|garlic
81,item_I01|item_T02|tea|item_J03|item_Q03|item_L05
82,item_S03|item_J05|item_S02|item_H02|item_H04|item_S01|item_O02
83,item_A02|item_M04|item_M01|item_I05|item_N01|item_H04|item_P03|item_H03|item_E05
84,item_B02|item_Q03|item_M05|item_N02|item_H04|item_A03|item_D04|item_J02
